State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Surat,"Surat APMC",Lemon,Other,FAQ,19/01/2026,600,2800,1700
Gujarat,Surat,"Surat APMC",Mango(Raw-Ripe),Other,FAQ,19/01/2026,10000,13000,11500
Gujarat,Surat,"Surat APMC",Potato,Other,FAQ,19/01/2026,500,1800,1150
Gujarat,Surat,"Surat APMC","Rat Tail Radish(Mogari)",Other,FAQ,19/01/2026,4500,9000,6750
Kerala,Kannur,"Payyannur APMC",Copra,Other,Local,19/01/2026,17500,17700,17600
Punjab,Ludhiana,"Khanna APMC",Apple,Apple,"Grade A",19/01/2026,7000,7000,7000
Punjab,Moga,"Baghapurana APMC",Potato,Potato,"Grade B",19/01/2026,600,800,700
Rajasthan,Hanumangarh,"Sangriya APMC",Potato,Potato,Local,19/01/2026,800,1800,1200
"West Bengal",Medinipur(E),"Tamluk (Medinipur E) APMC","Bitter gourd","Bitter Gourd",FAQ,19/01/2026,4600,5000,4800
"West Bengal",Medinipur(E),"Tamluk (Medinipur E) APMC",Potato,Jyoti,FAQ,19/01/2026,1200,1300,1250
"West Bengal",Medinipur(E),"Tamluk (Medinipur E) APMC","Betal Leaves",Other,FAQ,19/01/2026,18000,58000,38000
"West Bengal","Uttar Dinajpur","Islampur APMC",Onion,"Dry F.A.Q.",FAQ,19/01/2026,2200,2400,2300
"West Bengal",Medinipur(W),"Ghatal APMC","Bitter gourd",Kareli,Local,19/01/2026,4900,5100,5000
"West Bengal",Medinipur(W),"Ghatal APMC",Brinjal,Brinjal,Local,19/01/2026,5500,5700,5600
Kerala,Kottayam,"Pampady APMC","Bitter gourd","Bitter Gourd",FAQ,19/01/2026,6000,7500,7000
Kerala,Kottayam,"Pampady APMC",Cauliflower,Cauliflower,FAQ,19/01/2026,5000,6500,6000
Kerala,Kottayam,"Pampady APMC",Brinjal,Brinjal,FAQ,19/01/2026,3500,4500,4000
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC",Ashgourd,Gouard,Local,19/01/2026,2000,2500,2250
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC",Amaranthus,Amaranthus,Local,19/01/2026,2500,3000,2750
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC",Coconut,Coconut,Local,19/01/2026,4000,5000,4500
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC",Snakeguard,Snakeguard,Local,19/01/2026,2000,2500,2250
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,19/01/2026,3000,3600,3300
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC",Thondekai,Thondekai,Local,19/01/2026,3200,4000,3600
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC","Tender Coconut","Tender Coconut",Local,19/01/2026,2000,2500,2250
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC",Yam(Ratalu),"Yam (Ratalu)",Local,19/01/2026,3000,3600,3300
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC",Colacasia,Colacasia,Local,19/01/2026,2500,3000,2750
Odisha,Sundergarh,"Panposh APMC",Pumpkin,Other,FAQ,19/01/2026,800,1200,1000
Odisha,Sundergarh,"Panposh APMC","Field Pea",Other,FAQ,19/01/2026,3500,4500,4000
Uttarakhand,Haridwar,"Haridwar Union APMC",Pomegranate,Pomogranate,"Grade Range-3",19/01/2026,2500,5500,3500
Uttarakhand,Haridwar,"Haridwar Union APMC","Bottle gourd","Bottle Gourd",FAQ,19/01/2026,800,1200,1000
Uttarakhand,Haridwar,"Haridwar Union APMC",Orange,Other,"Grade Range-3",19/01/2026,2000,3500,2500
Rajasthan,Ganganagar,"Suratgarh APMC",Wheat,Other,FAQ,19/01/2026,2606,2606,2606
Punjab,Bhatinda,"Bhucho APMC",Onion,Onion,Local,19/01/2026,1100,1100,1100
Punjab,Hoshiarpur,"Garh Shankar APMC",Ginger(Dry),Vegitable-fresh,FAQ,19/01/2026,5500,5500,5500
Punjab,Ludhiana,"Doraha APMC",Onion,Medium,Local,19/01/2026,2000,2500,2400
Punjab,Ludhiana,"Doraha APMC",Cucumbar(Kheera),Cucumbar,Local,19/01/2026,1500,1500,1500
Punjab,Ludhiana,"Sahnewal APMC",Raddish,Raddish,FAQ,19/01/2026,800,800,800
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Maize,"Deshi Red",Local,19/01/2026,2200,2600,2400
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Onion,Bellary,Local,19/01/2026,2200,2700,2450
